,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
201006,-8.58,-8.07,-7.2,-6.52,-5.04
201007,6,6.82,6.95,7.26,6.93
201008,-8.94,-7.26,-6.22,-4.75,-4.38
201009,11.73,13.25,12.68,10.75,8.88
201010,5.28,3.36,4.08,3.48,3.9
201011,3.83,3.72,4.03,2.93,-0.2
201012,8.96,8.15,7.45,6.86,6.51
201101,-1.39,0.79,1.51,2.28,2.33
201102,4.46,5.85,5.64,4.04,3.19
201103,2.53,2.72,3.15,2.04,-0.15
201104,1.34,2.32,3.54,2.64,3.05
201105,-2.63,-2.05,-1.5,-0.47,-1.31
201106,-2.75,-1.22,-1.62,-2.1,-1.63
201107,-2.64,-4.22,-4.16,-3.56,-1.91
201108,-10.79,-9.58,-8.21,-7.67,-5.25
201109,-11.25,-11.13,-11.43,-9.89,-6.66
201110,13.12,15.74,15.3,14.06,10.48
201111,-1.45,-0.29,-0.22,-0.16,-0.25
201112,0.98,0.23,-0.16,-0.49,0.96
201201,8.77,6.76,6.28,6.22,4.6
201202,1.64,3.42,3.88,4.8,4.51
201203,3.69,2.39,1.37,1.91,3.38
201204,-1.82,-1.52,-1.11,-0.42,-0.77
201205,-6.98,-6.5,-6.86,-7.7,-5.85
201206,5.97,5.11,3.4,1.96,4.06
201207,-2.1,-1.71,-0.95,-0.81,1.36
201208,2.73,2.66,4.09,3.86,2.27
201209,4.43,4.13,2.66,2.21,2.68
201210,-3.37,-2.89,-0.93,-0.3,-1.9
201211,0.46,0.44,2.4,1.78,0.52
201212,3.43,3.57,2.91,2.5,0.67
201301,5.77,6.53,6.63,7.54,5.21
201302,0.72,1.31,1.24,1.27,1.33
201303,5.37,4.53,4.89,4.71,3.82
201304,0.23,-0.77,-0.63,0.9,1.89
201305,5.56,5.53,4.65,3.3,2.51
201306,0.58,0.37,-0.82,-1.69,-1.32
201307,8.14,6.88,7.58,6.59,5.27
201308,-2.84,-2.57,-2.7,-2.3,-2.79
201309,7.11,6.39,5.65,5.22,3.19
201310,1.61,2.05,3.69,3.24,4.54
201311,5.86,4.28,3.39,1.88,3.2
201312,2.03,2.24,2.85,3.09,2.63
201401,-1.3,-3.14,-2.37,-2.88,-3.59
201402,4.68,4.75,5.48,5.73,4.48
201403,-0.38,-0.44,-0.97,-0.17,0.8
201404,-5.62,-4.02,-2.63,-1.41,0.73
201405,-0.86,0.33,1.42,2.14,2.22
201406,5.45,6.27,5.08,4.06,1.87
201407,-6.71,-5.91,-5.57,-3.36,-1.3
201408,3.71,5.15,5.14,5.27,3.98
201409,-6.02,-5.33,-5.4,-3.84,-1.21
201410,5.05,6.36,4.53,2.45,2.14
201411,-1.02,0.16,1.38,2.3,2.85
201412,5.28,2.4,0.89,0.39,-0.47
201501,-4.59,-3.98,-2.76,-1.6,-3.27
201502,5.58,6.55,7.48,7.14,5.93
201503,1.45,1.92,1.11,0.49,-1.77
201504,-2.34,-2.19,-1.63,-0.64,1.21
201505,2.36,2.74,2.7,1.68,1.14
201506,2.7,0.72,-0.24,-1.23,-1.91
201507,-5.29,-1.87,-1.88,0.79,2.18
