"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"1",1926,1,26829,0.0212933139097744,0.0002478675085259
"2",1926,2,27017,-0.0497389308411215,-0.0339950225050675
"3",1926,3,26127,-0.0887797296296296,-0.0649615168450472
"4",1926,4,24324,0.0298324658040665,0.0369713088856355
"5",1926,5,25270,0.00182823020257827,0.0122618886602593
"6",1926,6,25492,0.048070599153704,0.054659851263908
"7",1926,7,26449,0.0118634010989011,0.031813392897304
"8",1926,8,27318,0.0286346813186813,0.0289124974146327
"9",1926,9,28348,-0.00604272595281307,0.00591020068932455
"10",1926,10,28154,-0.0323174394213382,-0.0292401250846048
"11",1926,11,27254,0.0227483770197487,0.0284408500076986
"12",1926,12,28273,0.0226328416370107,0.0289810953475753
"13",1927,1,29609,0.0112618732142857,0.00189948937955824
"14",1927,2,29747,0.0487054911032028,0.0442971796901413
"15",1927,3,31084,-0.0182330944741533,0.00425879242866349
"16",1927,4,31125,0.00710799647887324,0.00714295466458358
"17",1927,5,31348,0.0581762837127846,0.0574527602767618
"18",1927,6,33433,-0.0184537913043478,-0.0208027400765075
"19",1927,7,32614,0.0551280502599653,0.0755625810656335
"20",1927,8,34753,0.0016000777027027,0.0224109329072978
"21",1927,9,35717,0.0291556408094435,0.0497260170216593
"22",1927,10,38809,-0.0358761072026801,-0.0405711874019276
"23",1927,11,37223,0.0886878205980066,0.0673407747837504
"24",1927,12,39337,0.0281704701986755,0.0231096193248464
"25",1928,1,40835,0.0298110082508251,-0.00324880167111242
"26",1928,2,39846,-0.0212811884297521,-0.0136595139461862
"27",1928,3,39287,0.0677381414473684,0.0909532836896195
"28",1928,4,42827,0.0817743076923077,0.0447439872239211
"29",1928,5,44713,0.0363197243066884,0.0184417353371712
"30",1928,6,45377,-0.065461205834684,-0.045400342345435
"31",1928,7,43569,0.00282471799027553,0.00950092123107503
"32",1928,8,44205,0.0548815064308682,0.0700004882993218
"33",1928,9,47171,0.0468668187599364,0.0314678451709994
"34",1928,10,48888,0.0168833647798742,0.018957539843028
"35",1928,11,49989,0.107637411128284,0.12185004888371
"36",1928,12,55994,-0.00433223358778626,0.00426583517846105
"37",1929,1,58150,0.0302636450151057,0.0500535146928993
"38",1929,2,61547,0.00599560816944024,0.000184600762114204
"39",1929,3,60991,-0.029329211225997,-0.00500171278688402
"40",1929,4,61018,0.0128697959479016,0.0178777643859866
"41",1929,5,63425,-0.0826120129124821,-0.0592800533410137
"42",1929,6,60636,0.0679732577903683,0.10217636916678
"43",1929,7,66272,0.0182645257301808,0.0458311403901038
"44",1929,8,69479,0.024924303030303,0.0875436753552193
