0.05,0,3,705.564,0.1221,0.73629
0.05,0,4,1309.07,0.2345,0.968478
0.05,0,5,1952.64,0.3471,1.16256
0.05,0,6,2596.93,0.4586,1.35488
0.05,0,7,3101.77,0.5431,1.54354
0.05,0,8,3606.01,0.6269,1.73196
0.05,0.1,3,1997.88,0.3488,1.13956
0.05,0.1,4,2649.35,0.4855,1.38591
0.05,0.1,5,3227.3,0.6113,1.59247
0.05,0.1,6,3760.71,0.7094,1.69896
0.05,0.1,7,4185.47,0.7833,1.8231
0.05,0.1,8,4578.33,0.8471,1.95088
0.05,0.2,3,2846.68,0.5239,1.18735
0.05,0.2,4,3376.39,0.6692,1.4069
0.05,0.2,5,3843.51,0.7748,1.56549
0.05,0.2,6,4203.38,0.8531,1.64466
0.05,0.2,7,4507.68,0.9046,1.73123
0.05,0.2,8,4774.97,0.9364,1.77672
0.05,0.3,3,3341.31,0.6506,1.12777
0.05,0.3,4,3776.35,0.7819,1.31592
0.05,0.3,5,4125.71,0.8725,1.44843
0.05,0.3,6,4342.41,0.9255,1.52485
0.05,0.3,7,4546.53,0.9563,1.52865
0.05,0.3,8,4742.38,0.9728,1.56067
0.05,0.4,3,3601.43,0.7409,1.10001
0.05,0.4,4,3861.14,0.8556,1.25651
0.05,0.4,5,4112.05,0.9222,1.3384
0.05,0.4,6,4290.62,0.9586,1.36359
0.05,0.4,7,4487.16,0.9783,1.3606
0.05,0.4,8,4713.98,0.9898,1.35172
0.05,0.5,3,3711.82,0.809,1.02904
0.05,0.5,4,3886.54,0.9028,1.16473
0.05,0.5,5,4024.15,0.9547,1.19851
0.05,0.5,6,4253.99,0.978,1.21471
0.05,0.5,7,4455.81,0.99,1.22467
0.05,0.5,8,4645.03,0.9957,1.21659
0.05,0.6,3,3713.83,0.859,0.973352
0.05,0.6,4,3815.31,0.9357,1.07079
0.05,0.6,5,3980.84,0.971,1.09664
0.05,0.6,6,4122.82,0.9867,1.0839
0.05,0.6,7,4357.56,0.9952,1.08228
0.05,0.6,8,4600.97,0.9983,1.05706
0.05,0.7,3,3798.36,0.898,0.941278
0.05,0.7,4,3774.02,0.9583,1.00478
0.05,0.7,5,3943.22,0.9851,1.02338
0.05,0.7,6,4160.95,0.9949,0.977791
0.05,0.7,7,4270.51,0.9982,0.991108
0.05,0.7,8,4541.12,0.999,0.97837
0.05,0.8,3,3653.67,0.9291,0.873158
0.05,0.8,4,3681.69,0.9711,0.901497
0.05,0.8,5,3890.18,0.9908,0.931984
0.05,0.8,6,4095.31,0.9967,0.892529
0.05,0.8,7,4308.66,0.9985,0.902141
0.05,0.8,8,4475.56,0.9992,0.891793
0.1,0,3,1114.98,0.1832,0.747495
0.1,0,4,1805.12,0.3008,0.957221
0.1,0,5,2483.99,0.4221,1.18398
0.1,0,6,3201.37,0.5389,1.37618
0.1,0,7,3779.07,0.6284,1.54741
0.1,0,8,4237.75,0.6973,1.70319
0.1,0.1,3,2304.26,0.3987,1.08188
0.1,0.1,4,3000.87,0.5409,1.31306
0.1,0.1,5,3597.77,0.666,1.48749
0.1,0.1,6,4176.95,0.7638,1.63727
0.1,0.1,7,4667.12,0.8297,1.78347
0.1,0.1,8,4918.83,0.8764,1.81897
0.1,0.2,3,3061.32,0.5589,1.10534
0.1,0.2,4,3631.11,0.6989,1.33525
0.1,0.2,5,4110.59,0.8047,1.46102
0.1,0.2,6,4496.41,0.8743,1.54685
0.1,0.2,7,4814.51,0.9232,1.61467
0.1,0.2,8,5108.73,0.9494,1.6464
0.1,0.3,3,3514.6,0.6754,1.10134
0.1,0.3,4,3934.86,0.8059,1.26933
0.1,0.3,5,4267.23,0.8861,1.37377
0.1,0.3,6,4573.14,0.9375,1.45228
0.1,0.3,7,4849.3,0.9643,1.46126
0.1,0.3,8,5044.23,0.9809,1.49533
0.1,0.4,3,3705.95,0.7509,1.04732
0.1,0.4,4,4075.49,0.8688,1.18413
0.1,0.4,5,4345.74,0.9312,1.25815
0.1,0.4,6,4557.64,0.9687,1.30247
0.1,0.4,7,4813.83,0.9846,1.33294
0.1,0.4,8,4994.41,0.9909,1.28278
0.1,0.5,3,3911.95,0.8302,0.996248
0.1,0.5,4,3960.85,0.9114,1.08194
0.1,0.5,5,4209.3,0.9616,1.13981
0.1,0.5,6,4523.75,0.9826,1.16573
0.1,0.5,7,4681.67,0.992,1.15065
0.1,0.5,8,4886.57,0.997,1.16651
0.1,0.6,3,3891.83,0.8674,0.939985
0.1,0.6,4,4090.13,0.9476,1.04872
0.1,0.6,5,4228.64,0.9786,1.0693
0.1,0.6,6,4458.54,0.9915,1.03863
0.1,0.6,7,4646.86,0.9962,1.03963
0.1,0.6,8,4829.31,0.9984,1.03352
0.1,0.7,3,3862.29,0.9047,0.893245
0.1,0.7,4,3929.17,0.9622,0.961093
0.1,0.7,5,4132,0.9856,0.963981
0.1,0.7,6,4362.15,0.9957,0.973191
0.1,0.7,7,4546.01,0.9975,0.936891
0.1,0.7,8,4732.75,0.9993,0.921989
0.1,0.8,3,3825.36,0.9287,0.856404
0.1,0.8,4,3910.3,0.9768,0.880733
0.1,0.8,5,4082.98,0.9922,0.878628
0.1,0.8,6,4308.8,0.9987,0.874479
0.1,0.8,7,4503.98,0.9994,0.863429
0.1,0.8,8,4673.23,0.9998,0.860748
0.15,0,3,1427.28,0.2277,0.747404
0.15,0,4,2212.44,0.3603,0.976586
0.15,0,5,3013.99,0.4912,1.18521
0.15,0,6,3738.84,0.6051,1.37839
0.15,0,7,4367.67,0.6984,1.53198
0.15,0,8,4866.58,0.7659,1.67847
0.15,0.1,3,2561.29,0.4334,1.01881
0.15,0.1,4,3203.18,0.5651,1.24185
0.15,0.1,5,3884.73,0.6891,1.41494
0.15,0.1,6,4511.88,0.7986,1.58256
0.15,0.1,7,4968.35,0.8576,1.65986
0.15,0.1,8,5353.93,0.9099,1.72666
0.15,0.2,3,3317.55,0.5867,1.07305
0.15,0.2,4,3883.4,0.7266,1.28019
0.15,0.2,5,4365.02,0.8165,1.39279
0.15,0.2,6,4780.78,0.8965,1.48364
0.15,0.2,7,5109.17,0.9389,1.54363
0.15,0.2,8,5425.79,0.9625,1.57699
