"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"102",1934,6,1564,0.0117488932666667,0.00957320073599744
"103",1934,7,1564,0.00788349003333333,0.00398813400850384
"104",1934,8,1564,-0.00444029893333333,-0.00854461993094629
"105",1934,9,1564,-0.0107411073,-0.0165988007282609
"106",1934,10,1564,0.0157153164666667,0.0196267007659207
"107",1934,11,1564,0.00548682633333333,0.0059057437266624
"108",1934,12,1564,0.00979908863333333,0.0116097821150895
"109",1935,1,2055,0.015764819675,0.0167376399379075
"110",1935,2,2055,0.0113685597,0.0125691408228224
"111",1935,3,2055,0.010213377775,0.0031465639107056
"112",1935,4,4666,0.007760116,0.00793728774892842
"113",1935,5,4666,-0.0006753,-0.00246243541748821
"114",1935,6,4666,0.0070060267,0.0073724240781183
"115",1935,7,4666,0.00422105016,0.0033147916932276
"116",1935,8,4666,-0.0129260398,-0.0141609966603086
"117",1935,9,4666,-0.00112469084,-0.00112793939867124
"118",1935,10,4666,0.011746772,0.00769234084303472
"119",1935,11,4666,0.00382268344,0.00037027915747964
"120",1935,12,4666,0.00424305024,0.00595214679657094
"121",1936,1,4666,0.00392974214,0.0042670531537934
"122",1936,2,4666,0.00909181082,0.00969993118729104
"123",1936,3,4666,0.00917755568,0.00964103516234462
"124",1936,4,5889,0.0036334996,0.00397367046748175
"125",1936,5,5889,0.0038841279,0.0039555621979623
"126",1936,6,5889,0.000542215166666667,0.0012464405510613
"127",1936,7,7515,0.00499789984285714,0.00550071282444444
"128",1936,8,7515,0.00883158395714286,0.00988976139745842
"129",1936,9,7515,5.16075e-05,-0.000993373493932136
"130",1936,10,8496,0.001894394925,0.00135579805294256
"131",1936,11,8496,0.0182329441625,0.0191307607868997
"132",1936,12,8496,0.0039777224625,0.00415546635244821
"133",1937,1,10282,0.000134831366666667,-0.000865104580519354
"134",1937,2,10282,0.00382712801111111,0.00501327613923361
"135",1937,3,10282,-0.0350295691111111,-0.0373107111795371
"136",1937,4,10282,-0.0006909246,0.00184250342106594
"137",1937,5,10282,0.0081590094,0.00769504831407314
"138",1937,6,10282,-0.00123555848888889,-0.000676280224606108
"139",1937,7,10282,0.0123442603777778,0.0134216657334079
"140",1937,8,10282,-0.00980964977777778,-0.0103786214543863
"141",1937,9,10282,0.00442847554444444,0.00463207049089671
"142",1937,10,10282,0.0056678533,0.00431535079879401
"143",1937,11,10282,0.00862910421111111,0.00929290118624781
"144",1937,12,10282,0.00718129563333333,0.00823119837077417
"145",1938,1,10282,0.00606720105555556,0.00603914989046878
"146",1938,2,10282,0.00450595641111111,0.00488135581321727
"147",1938,3,10282,-0.0042130672,-0.00477262588825131
