"","Year","Month","Stock_lag_MV","Stock_Excess_Vw_Ret","Bond_lag_MV","Bond_Excess_Vw_Ret"
"1",1926,1,26829,-0.0027031324914741,809,0.0104437648241038
"2",1926,2,27017,-0.0367630225050675,809,0.0033860892487021
"3",1926,3,26127,-0.0677395168450472,809,0.00110321880494438
"4",1926,4,24324,0.0338993088856355,809,0.00436884442113721
"5",1926,5,25270,0.0119198886602593,809,0.0011298106499382
"6",1926,6,25492,0.051200851263908,809,0.00029077130815822
"7",1926,7,26449,0.029570392897304,809,-0.00150949505228677
"8",1926,8,27318,0.0263764974146327,809,-0.0021266945437
"9",1926,9,28348,0.00363720068932455,809,0.0014956187684796
"10",1926,10,28154,-0.0324351250846048,809,0.00642836156378245
"11",1926,11,27254,0.0253478500076986,809,0.0120789568264524
"12",1926,12,28273,0.0262030953475753,809,0.00471759816749073
"13",1927,1,29609,-0.00056351062044176,809,0.004793338507911
"14",1927,2,29747,0.0417271796901413,809,0.00621466436736712
"15",1927,3,31084,0.00129979242866349,809,0.0212024626891224
"16",1927,4,31125,0.00459695466458358,809,-0.00269270829419036
"17",1927,5,31348,0.0544447602767618,809,0.00742353607775031
"18",1927,6,33433,-0.0233857400765075,809,-0.00897626180840544
"19",1927,7,32614,0.0725715810656335,809,0.00206421090185414
"20",1927,8,34753,0.0196539329072978,809,0.00453751460494438
"21",1927,9,35717,0.0476300170216593,809,0.00013859222249691
"22",1927,10,38809,-0.0430911874019276,809,0.00759525536118665
"23",1927,11,37223,0.0652547747837504,809,0.00709525235562423
"24",1927,12,39337,0.0208796193248464,809,0.00479122114289246
"25",1928,1,40835,-0.00547380167111242,809,-0.0049881442039555
"26",1928,2,39846,-0.0169535139461862,809,0.00259426410210136
"27",1928,3,39287,0.0880172836896195,809,0.00148300913671199
"28",1928,4,42827,0.0425199872239211,809,-0.00271843126081582
"29",1928,5,44713,0.0155217353371712,809,-0.0104639047354759
"30",1928,6,45377,-0.048522342345435,809,0.00013406078170581
"31",1928,7,43569,0.00627492123107503,809,-0.0264603062113721
"32",1928,8,44205,0.0667844882993218,809,0.00412529484252163
"33",1928,9,47171,0.0287448451709994,809,-0.00769351508899876
"34",1928,10,48888,0.014579539843028,809,0.0126203614747837
"35",1928,11,49989,0.11797604888371,809,-0.00241621781557478
"36",1928,12,55994,0.00081483517846105,809,-0.00287296144449938
"37",1929,1,58150,0.0467215146928993,809,-0.0119286657923362
"38",1929,2,61547,-0.0033233992378858,809,-0.0180803910333745
"39",1929,3,60991,-0.00843271278688402,809,-0.0170963339245983
"40",1929,4,61018,0.0143107643859866,809,0.0224174352163164
"41",1929,5,63425,-0.0636680533410137,809,-0.0197254578899876
"42",1929,6,60636,0.09698336916678,809,0.00527862291495674
"43",1929,7,66272,0.0424861403901038,809,-0.00385932364647713
"44",1929,8,69479,0.0835136753552193,809,-0.00707036226823239
"45",1929,9,76628,-0.0542192325015232,809,-0.00214290436749073
"46",1929,10,73826,-0.200063477544556,809,0.032227222405068
"47",1929,11,59875,-0.127138659981047,809,0.0164592912810878
"48",1929,12,52552,0.0133160623065624,809,-0.0108063941322621
"49",1930,1,55149,0.0560539392673276,809,-0.00553689300370828
"50",1930,2,58903,0.0250352987435282,809,0.00961867418046972
"51",1930,3,60287,0.0710431592080307,809,0.00550103000828183
"52",1930,4,64876,-0.0205323812375816,809,-0.00311549389122373
"53",1930,5,63867,-0.0166033679165452,809,0.0119622960852905
"54",1930,6,62984,-0.162383702821711,809,0.000970615804449938
"55",1930,7,53081,0.0411709065175755,809,0.0033681171394314
"56",1930,8,56400,0.00331533869473495,809,0.00142787118541409
"57",1930,9,56304,-0.127524192400557,809,0.00538348315500618
"58",1930,10,48995,-0.0878266750854938,809,0.00273612060321384
