,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197805,0.5,2.8,3.93,7.47,7.92
197806,-1.43,-0.51,-2.21,0.34,-0.5
197807,4.57,5.96,7.71,8.51,5.61
197808,2.92,3.97,6.5,7.47,8.19
197809,0.01,-1.9,-0.82,-0.88,-2.57
197810,-7.25,-10.98,-14.71,-18.93,-26.04
197811,2.38,3.03,4.86,6.87,8.63
197812,1.77,1.08,2.53,2.26,0.83
197901,3.84,4.72,6.45,7.99,9.68
197902,-2.5,-3.53,-3.12,-3.51,-2.24
197903,4.39,7.27,9.74,11.34,11.37
197904,0.36,0.74,1.08,1.58,2.69
197905,-1.22,-1.3,-2.02,-0.85,-2.14
197906,3.1,5.98,7.39,6.93,6.05
197907,0.85,2.86,2.74,3.46,0.17
197908,5.26,7.02,8.48,8.33,6.1
197909,-0.58,0.75,1.73,-0.54,-0.3
197910,-6.2,-7.44,-7.81,-8.77,-11.05
197911,4.39,6.97,9.06,10.38,8.27
197912,0.32,2.82,5.86,7.42,7.57
198001,4.04,6.93,9.77,9.54,9.57
198002,-1.36,-1.62,3.63,-0.66,0.38
198003,-6.76,-9.7,-14.06,-18.26,-23.24
198004,4.83,5.95,4.49,4.89,6.8
198005,5.39,5.01,7.35,7.24,7.17
198006,3.27,4.17,2.13,5.31,5.35
198007,5.4,7.2,8.64,11.52,8.08
198008,1.36,1.07,3.99,5.12,6.91
198009,1.02,4.43,6.18,2.83,4.45
198010,0.32,2.12,4.19,3.28,3.84
198011,7.55,10.08,15.25,12.84,13.02
198012,0.83,-2.84,-6.08,-7.38,-6.63
198101,-0.7,-5.06,-6.52,-7.04,-4.73
198102,2.22,2.16,1.1,0.34,0.55
198103,2.71,5.75,6.66,6.2,5.99
198104,-0.51,-0.67,-2.43,-1.81,-0.62
198105,0.62,1.24,0.22,4.42,2.07
198106,0.59,-1.65,0.06,-2.96,-5.83
198107,-1.54,0.19,-0.11,2.14,1.03
198108,-3.79,-6.62,-5.82,-8.37,-7.93
198109,-2.89,-4.9,-6.67,-9.02,-13.97
198110,3.78,5.96,7.9,10.3,10.39
198111,4.87,4.34,4.42,4.54,2.66
198112,-1.73,-3.1,-2.82,-2.97,-5.62
198201,-0.15,-2.98,-3.83,-4.87,-6.96
198202,-3.11,-4.81,-6.63,-8.47,-7.98
198203,-0.05,-0.51,-1.56,-2.37,-3.58
198204,3,4.92,5.86,6.04,5.6
198205,-1.76,-2.84,-4.43,-3.62,-4.71
198206,-0.85,-2.88,-2.55,-2.79,-5.07
198207,-0.53,-3.16,-3.5,-3.51,-5.16
198208,11.61,12.22,12.29,13.39,9.75
198209,1.51,2.78,1.86,1.55,1.3
198210,9.1,11.97,13.61,17.53,15.36
198211,4.76,4.05,6.59,7.43,6.3
198212,1.67,0.84,0.55,1.56,1.28
198301,3.91,3.04,3.44,7,8.23
198302,2.63,4.2,3.98,3.24,1.7
198303,2.25,4.95,4.63,3.7,1.96
198304,7.61,6.36,7.19,7.13,9.21
198305,-1.74,1.73,1.09,5.31,8.36
198306,2.63,3.35,4.32,6.1,5.69
198307,-1.43,-3.29,-3.95,-5.26,-6.89
198308,1.53,0.35,0.68,-1.95,-2.32
198309,3.19,1.52,0.35,1.16,-0.75
198310,0.44,-2.33,-4.05,-5.42,-10.41
198311,0.75,2.98,4.55,5.19,5.23
198312,-0.91,-0.44,-0.66,-0.98,-3.3
198401,-0.54,-0.89,-0.83,-3.81,-1.4
198402,-3.81,-3.37,-3.66,-5.63,-5.49
198403,1.31,2.01,1.61,1.87,-0.43
198404,1.05,0.72,-0.16,-0.64,-1.05
198405,-3.62,-5.84,-6.27,-5.96,-7.03
198406,2.25,2.44,2.55,4.87,1.8
198407,-0.07,-1.87,-3.41,-3.65,-6
198408,8.97,11.5,12.88,14.8,12.74
198409,1.46,-0.82,0.24,-1.72,-1.93
198410,1.33,0.17,0.17,-1.81,-3
198411,-0.3,-0.52,-1.15,-2.1,-4.67
198412,2.23,3.25,2.85,2.16,1.58
198501,6.75,7.55,10.92,10.77,13.49
198502,1.57,2.31,1.77,1.63,1.74
198503,0.68,0.49,-0.62,-2.09,-3.22
198504,0.68,0.56,-0.91,-1.74,-3.96
198505,5.87,7.2,6.1,4.96,2.34
198506,1.94,2.18,2.16,1.56,0.5
198507,-0.53,-0.87,0.42,1.09,1.38
198508,-0.04,-0.56,-0.25,-0.66,-2.44
198509,-3.01,-4.04,-4.16,-3.8,-8.06
198510,4.73,4.88,4.76,4.93,3.02
198511,6.59,8.51,6.93,7.35,5.18
198512,5.32,4.28,4,3.73,3.18
198601,0.72,1.65,1.93,0.4,1.29
198602,7.81,8.45,7.23,6.93,5.69
198603,5.34,6.2,5.74,4.63,3.89
198604,-1.06,-1.27,0.41,-1.65,0.87
198605,4.43,5.87,6.3,5.36,3.7
198606,2.36,1.74,1.09,0.81,-0.83
198607,-3.16,-6.54,-6.76,-9.27,-10.77
198608,7.32,6.83,6.46,5.65,3.66
198609,-8.6,-8.87,-7.52,-7.04,-6.06
198610,4.43,6.4,5.89,5.36,3.52
198611,2.7,1.39,0.83,0.49,-1.67
198612,-2.46,-2.39,-2.57,-3.48,-4.83
198701,12.95,12.02,12.76,15.18,12.07
198702,2.84,4.6,6.81,8.56,7.2
198703,1.77,2.39,3.05,1.44,2.3
198704,-1.67,-1.29,-2.65,-1.83,-1.5
198705,0.47,0.12,1.31,0.77,0.46
198706,5.26,6.49,3.9,2.57,-0.3
198707,3.02,5.11,5.82,5.69,4.23
198708,4.94,3.91,3.46,2.6,2.16
198709,-2.46,-2.93,-1.17,-1.15,-1.16
198710,-17.86,-22.31,-25.67,-30.05,-30.8
198711,-7.23,-8.01,-7.65,-6.48,-7.24
198712,4.57,9,10.21,10.84,5.48
198801,5.16,5.03,4.47,2.6,1.61
198802,2.72,5.89,7.85,9.68,8.23
198803,-3.55,-2.47,-0.68,2.49,3.92
198804,1.09,0.84,0.99,1.81,0.51
198805,1.53,-0.09,-0.66,-1.2,-3.14
198806,4.13,5.83,6.7,6.52,6.03
198807,0.08,-0.98,-1.53,-2.49,-1.22
198808,-2.47,-2.39,-3.69,-3.28,-2.48
198809,4.11,4.48,3.61,3.45,1.85
198810,3.53,1.09,-0.18,0.91,-1.63
198811,-0.99,-1.72,-2.44,-2.55,-2.87
198812,1.45,1.89,3,3.15,3.59
198901,6.41,7.31,6.93,6.4,5.26
198902,-2.74,-1.77,-0.68,1.17,0.27
198903,2.3,3.02,2.1,1.35,0.91
198904,4.7,6.48,4.52,4.91,3.58
198905,3.93,4.85,3.46,5.15,3.51
198906,0.11,-0.58,-1.32,-1.56,-1.83
198907,8.45,9.57,7.66,5.61,2.63
198908,1.25,2.55,3.34,3.16,1.74
198909,0.29,-0.16,-0.55,-0.7,0.43
198910,-0.96,-2.32,-4.92,-5.97,-7.71
198911,2.95,1.43,1.6,0.69,-0.95
198912,3.32,1.59,0.05,1.01,-0.92
199001,-6.18,-7.57,-7.71,-7.56,-11.35
199002,0.86,1.44,2.63,3.44,2.74
199003,2.49,2.37,2.03,3.23,2.64
199004,-1.67,-2.88,-3.56,-4.56,-3.62
199005,8.82,8.45,10.46,10.01,8.66
199006,-0.06,-0.78,-0.83,-1.49,-0.22
199007,1.09,-1.3,-3.61,-4.72,-5.99
199008,-8.02,-9.49,-9.89,-12.03,-14.06
199009,-3.37,-5.31,-6.29,-9.15,-10.89
199010,1.8,-0.93,-3.26,-7.15,-6.82
199011,5.38,6.28,10.01,9.95,8.18
199012,2.16,2.71,4.85,6.7,0.6
199101,1.28,7.42,8.42,10.69,10.76
199102,6.91,6.96,7.53,11.49,14.72
199103,2.8,2.03,3.97,3.99,8.22
199104,0.71,-0.51,0.63,0,0.03
199105,2.39,4.81,7.5,4.58,3.28
199106,-2.8,-5.11,-6.02,-6.61,-6.94
199107,4.57,4.02,4.8,6.08,5.55
199108,2.3,2.93,2.21,4.25,4.68
199109,-0.29,-2.27,-1.97,-1.61,-0.45
199110,2.1,1.13,1.48,0.44,3.3
199111,-2.87,-3.31,-5.83,-4.9,-5.38
199112,10.29,12.49,11.79,12.09,10.03
199201,-3.48,-0.02,1.71,5.67,11.28
199202,-0.46,3.02,2.29,2.92,3.14
199203,-1.63,-1.72,-2.28,-4.89,-5.64
199204,3.1,2.69,-0.11,-2.03,-6.47
199205,0.85,0.35,1.38,-0.35,-0.71
199206,-0.7,-1.82,-3.17,-3.33,-6.27
199207,4.64,3.62,3.3,4.49,3.8
