,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197711,3.46,4.9,4.78,3.88,4.97
197712,0.8,-0.22,1.32,1.21,-0.11
197801,-5.76,-6.11,-5.56,-6.07,-5.8
197802,-1.87,-1.04,-2.41,0.82,-0.92
197803,2.99,3.94,0.74,4.03,3.29
197804,9.28,9.75,11.55,6.6,5.74
197805,2.27,2.44,1.7,0.92,2.34
197806,-2.31,-0.31,-1.07,-1.45,-0.38
197807,6.91,4.98,6.43,5.17,3.04
197808,3.88,4.45,2.94,4.39,4.17
197809,-1.43,0.11,-1.67,-0.62,-0.34
197810,-10.87,-12.74,-11.19,-12.85,-9.16
197811,2.93,3.96,3.94,2.98,3.72
197812,2.44,1.22,1.3,1.76,0.01
197901,3.97,6.02,4.18,5.48,4.81
197902,-3.3,-3.17,-4.12,-3.03,-1.72
197903,5.93,7.4,7.12,7.24,4.11
197904,0.81,1.39,0.95,1.48,-0.89
197905,-2.41,-2.08,-1.68,-1.44,0.07
197906,4.64,6.15,5.05,5.28,4.38
197907,1.91,1.87,1.87,1.69,1.71
197908,7.39,7.11,6.53,6.42,5.71
197909,0.32,0.17,-0.47,-0.86,-1.2
197910,-7,-7.14,-7.73,-6.85,-7.19
197911,6.07,7.7,5.97,6.97,7.67
197912,2.54,4.28,3.76,2.22,2.33
198001,5.95,5.3,4.43,4.47,5.38
198002,3.39,-3.35,-2.78,-1.24,-2.58
198003,-11.31,-12.27,-10.06,-9.78,-10.56
198004,5.26,3.93,4.4,5.81,9.52
198005,6.47,8.11,6.51,4.98,4.79
198006,2.32,2.72,3.31,3.24,3.98
198007,7.16,9.34,8.93,5.79,4.34
198008,1.57,3.07,3.89,1.83,2.17
198009,1.29,3.72,3.5,6.87,2.2
198010,2.31,1.38,1.11,3.43,-0.09
198011,10.97,8.82,8.39,15.67,7.94
198012,-3.09,0.7,-1.43,-4.83,-2.65
198101,-4.16,-4.27,-3.04,-8.38,-1.79
198102,2.71,2.85,2.98,1.07,0.89
198103,1.59,5.95,6.79,4.96,5.3
198104,-2.56,-0.35,0.26,-2.67,0.39
198105,-0.37,0.88,2.37,0.75,3.32
198106,0.32,-1.66,-1.69,-1.33,-1.39
198107,1,-1.92,-2.29,-0.07,-0.14
198108,-5.55,-5.78,-7.65,-5.03,-6.18
198109,-6.08,-5.87,-5.53,-4.49,-6.87
198110,5.4,6.3,7.78,5.22,8.51
198111,4.46,4.82,1.48,3.77,4.22
198112,-1.96,-2.96,-1.66,-2.54,-3.73
198201,-1.51,-3.19,-2.86,-2.11,-2.79
198202,-5.58,-4.22,-3.57,-5.85,-4.15
198203,-0.36,-0.98,-1.97,0.54,-2.02
198204,4.18,4.69,5.61,3.73,4.71
198205,-1.83,-4.5,-4.88,-2.33,-3.2
198206,-1.87,-1.92,-1.14,-2.39,-3.23
198207,-3.29,-1.95,-0.54,-1.16,-2.79
198208,11.22,11.87,12.42,12.39,13.54
198209,2.34,1.41,2.71,0.5,0.22
198210,12.68,10.28,11.5,12.29,14.1
198211,3.95,4.2,5.33,5.58,7.61
198212,1.76,0.47,3.36,1.02,-1.22
198301,2.32,1.79,4.06,6.5,5.99
198302,3.22,4.15,2.11,1.82,3.27
198303,6.12,3.57,3.9,1.04,2.24
198304,7.05,6.61,8.51,7.89,6.81
198305,0.08,-1.03,0.79,1.08,2.53
198306,3.64,3.36,5.65,2.98,1.66
198307,-3.73,-3.34,-3.56,-2.62,-4.02
198308,0.81,-0.05,-0.56,0.33,0.51
198309,0.61,1.85,2.52,1.56,3.01
198310,-2.24,-2.73,-2.69,-2.37,-2.69
198311,3.9,4.23,1.75,2.91,1.7
198312,0.59,-0.98,0.01,-1.33,-3.13
198401,-2.05,-2.49,-3.35,-3.13,-0.21
198402,-4.58,-4.57,-4.67,-5.06,-4.85
198403,2.71,1.8,2.21,1.63,-1.61
198404,0.67,0.3,0.64,-0.27,-0.1
198405,-5.62,-5.59,-5.55,-5.91,-3.8
198406,2.18,3.28,1.72,2.89,4.75
198407,-3.08,-0.86,-1.37,-1.36,-2.97
198408,11.15,11.1,13.07,10.89,12.43
198409,0.31,-0.5,-0.58,0.3,-1.02
198410,-0.24,0.1,0.37,0.63,0.26
198411,-1,-0.92,-2.03,-0.33,-2.45
198412,1.48,2.58,2.7,2.96,3.05
198501,7.35,8.61,9.26,8.34,10.82
198502,3.42,1.7,-0.05,1,1.6
198503,0.27,-0.09,-1.9,0.94,-1.68
198504,0.04,-1.34,0.18,-0.62,-0.55
198505,4.79,7.39,4.41,6.5,6.97
198506,0.73,1.83,0.21,2.95,2.93
198507,0.91,2.16,-1.18,-1.79,-1.93
198508,-1.55,-1.63,-1.54,0.13,-1.26
198509,-4.3,-3.2,-4.42,-5.09,-6.31
198510,3.66,4.61,5.43,4.86,4.16
198511,7.56,8.68,7.09,6.07,7.3
198512,4.45,5.78,4.97,5.36,4.83
198601,0.62,-0.53,3.05,3.1,1.27
198602,7.86,6.74,8.93,8.22,7.31
198603,4.69,3.97,6.43,4.12,4.73
198604,-1.69,0.87,-2.6,-1.62,-0.39
198605,3.91,4.2,5.88,4.92,4.13
198606,1.21,-0.87,1.03,1.78,1.27
198607,-7.49,-7.71,-5.71,-3.61,-5.85
198608,6.12,6.34,7.68,6.97,6.59
198609,-8,-6.63,-9.1,-9.58,-8.56
198610,5.9,2.7,5.82,5.65,4.02
198611,3.17,1.8,0.58,1.42,-0.43
198612,-2.01,-3.72,-2.64,-3.48,-2.76
198701,13.28,11.51,13.51,11.22,11.21
198702,5.2,7.2,5.29,2.42,5.62
198703,2.33,3.44,-0.61,0.54,-1.01
198704,-0.78,-0.06,-1.16,-3.22,-3.78
198705,1.84,0.52,0.52,-0.55,-0.24
198706,4.84,4.06,3.91,4.47,3.62
198707,5.49,5.27,4.53,2.9,3.21
198708,3.36,3.95,4.54,5,3.52
198709,-1.62,-1.89,-2.09,-1.65,-2.64
198710,-20.57,-24.56,-26.15,-21.29,-25.5
198711,-8.44,-6.08,-8.15,-6.63,-5.63
198712,5.96,8.81,11.36,6.06,7.89
198801,6.63,3.35,2.77,4.64,5.5
198802,4.75,6.66,7.14,3.29,5.38
198803,-1.22,-1.27,-1.4,-4.45,-1.02
198804,0.05,0.98,1.55,-0.07,0.08
198805,0.39,-0.38,-0.11,1.8,-0.16
198806,4.11,6.63,6.78,5.6,6.83
198807,-0.56,-0.6,-2.86,-1.59,-1.48
198808,-2.12,-3.05,-2.65,-2.91,-3.23
198809,4.85,4.48,3.32,4.12,3.03
198810,3.43,1.34,0.69,0.04,-0.59
198811,-0.39,-2.47,-2.51,-2.09,-3.04
198812,0.98,2.98,3.12,1.84,2.49
198901,5.87,5.93,5.62,6.92,7.36
198902,-1.26,-1.94,-1.41,-0.98,-1.2
198903,3.53,2.89,1.64,2.04,2.76
198904,5.73,6.4,3.83,4.7,4.72
198905,4.28,5.35,4.88,5.73,4.12
198906,-0.05,-1.85,-0.77,-0.13,-2.02
198907,6.71,8.4,8.96,6.81,5.75
198908,2.04,2.93,2.35,2.71,2.1
198909,-0.45,-0.2,0.62,-0.23,-0.79
198910,-2.82,-2.37,-2.2,-5.59,-4.97
198911,2.44,2.56,1.81,0.53,-0.24
198912,1.63,2.06,0.97,-0.41,1.56
199001,-6.81,-7.56,-7.68,-6.98,-6.71
199002,2.32,0.56,1.64,3.07,3
199003,1.19,2.39,3.44,1.15,1.18
199004,-2.12,-3.22,-1.72,-5.34,-3.33
199005,9.64,10.03,9.68,10.2,8.66
199006,0.61,-0.06,0.61,-1.67,-0.98
199007,-1.17,-0.21,-5.53,-1.6,-3.64
199008,-9.42,-9.63,-11.68,-9.3,-9.9
199009,-3.52,-6.63,-6.62,-5.78,-7.6
199010,1.54,-1.3,-3.78,-0.95,-2.4
199011,5.7,5.86,9.36,6.31,9.32
199012,1.68,3.8,5.07,3.68,2.92
