,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200707,-1.67,-2.11,-4.95,-5,-6.14
200708,1.78,2.14,1.31,1.33,-0.78
200709,4.67,3.49,2.52,2.36,3.05
200710,4.3,1.75,1.1,0.97,-0.52
200711,-4.02,-3.12,-5.66,-5.41,-6.39
200712,-0.82,0.22,-1.22,-1.05,-0.02
200801,-8.31,-5.22,-5.13,-3.92,-3.95
200802,-2.5,-1.69,-3.58,-4.3,-5.6
200803,-0.04,1.05,-3.47,-2.65,0.21
200804,3.85,3.96,6.8,4.77,5.55
200805,3.78,0.57,1.87,0.22,2.07
200806,-7.08,-7.33,-8.89,-11.13,-10.99
200807,-1.05,-1.63,-1.8,2.16,5.05
200808,1.26,1.75,2.48,-0.28,3.29
200809,-10.1,-9.33,-7.99,-7.7,-5.57
200810,-15.67,-16.42,-15.04,-24.64,-18.63
200811,-6.64,-5.54,-7.48,-12.43,-15.48
200812,2,1.8,1.32,-0.27,4.48
200901,-3.54,-9.24,-10.33,-15.68,-15.24
200902,-7.77,-9.29,-11.65,-17.13,-13.66
200903,8.21,8.62,9.5,10.66,11.7
200904,7.8,8.76,11.99,14.32,20.23
200905,4.93,4.81,4.6,6.68,4.99
200906,1.99,-1.01,-0.21,-0.59,-0.43
200907,6.1,8.73,8.21,9.6,11.27
200908,1.28,3.98,2.83,5.85,13.32
200909,3.97,2.98,5.02,5.66,4.48
200910,-0.61,-1.6,-3.76,-4.76,-9.09
200911,6.58,5.01,3.98,4.55,5.19
200912,1.68,3.35,4.09,3.47,3.43
201001,-4.05,-3.5,-1.91,-4.18,-2.02
201002,2.75,3.51,3.05,4.56,6.54
201003,5.59,5.68,6.92,6.76,9.57
201004,0.81,3.05,2.49,1.43,5.05
201005,-7.17,-7.67,-8.91,-7.88,-9.5
201006,-4.04,-6.62,-4.4,-7.69,-10.51
201007,6.97,6.13,7.56,7.52,5.9
201008,-4.23,-4.29,-3.61,-5.4,-8.16
201009,10.61,9.35,9.25,7.93,8.48
201010,4.64,4.46,4.18,2.08,0.77
201011,-0.09,2.81,0.33,0.45,-1.41
201012,4.69,6.52,6.99,8.95,12.07
201101,1.35,3.22,2.3,2.34,2.23
201102,2.36,4.14,5,3.93,4.22
201103,0.36,0.8,1.74,0.04,-1.16
201104,3.61,3.9,3.04,1.07,1.18
201105,-0.12,-1.98,-1.36,-2.29,-2.7
201106,-1.23,-1.89,-2.23,-1.49,-2.53
201107,-0.81,-2.12,-2.19,-3.82,-4.88
201108,-4.71,-5.44,-7.59,-4.93,-10.53
201109,-6.94,-6.41,-8.6,-6.7,-12.49
201110,10.42,11.57,13.62,9.81,14.07
201111,-0.62,0.97,0.61,0.25,-4.32
201112,-0.74,0.7,1.55,3.18,1.17
201201,7.55,3.24,3.27,2.72,7.58
201202,5.02,3.26,3.71,4.33,6.11
201203,4.02,1.88,0.57,3.45,5.84
201204,-0.42,-0.76,-0.34,-0.67,-3.28
201205,-6.41,-5.75,-6.1,-3.51,-10.46
201206,2.65,4.14,4.34,5,5.3
201207,0.42,2.12,0.77,1.23,-1.54
201208,2.95,2.25,1.8,0.87,5.9
201209,1.77,2.36,3.65,3.17,4.74
201210,-3.8,-0.88,-1.44,-1.3,2.7
201211,1.78,0.67,-0.1,-0.36,-0.57
201212,-0.46,0.39,2.04,2.13,6.32
201301,4.22,5.59,5.97,6.87,7.07
201302,0.9,1.39,1.82,2.41,0.65
201303,3.78,3.59,4.47,4.54,3.96
201304,1.53,1.35,1.74,1.12,2.38
201305,2.31,2.73,1.12,2.64,7.6
201306,-2.45,-0.52,-0.04,-0.39,-2.23
201307,5.82,5.07,5.17,5.74,6.96
201308,-1.08,-3.09,-3.44,-3.6,-4.16
201309,4.57,3.21,3.32,3.57,2.83
201310,4.2,4.29,4.49,3.73,4.06
201311,3.52,2.99,1.67,2.22,5.26
201312,2.43,2.71,3.61,2.56,1.96
201401,-3.31,-3.03,-2.88,-4.27,-4.15
201402,5.25,5.03,3.53,4.52,3.23
201403,-1.47,0.21,1.92,2.92,3.61
201404,0.05,-0.08,0.9,0.92,-1.88
201405,2.75,1.41,2.31,1.32,1.33
201406,2.2,1.64,2.81,3.63,3.65
201407,-2.16,-1.78,-1.28,-2.79,-2.24
201408,5.1,4.75,2.81,2.65,4.99
201409,-1.24,-1.47,-2.11,-4.27,-1.64
201410,2.91,2.73,2.61,1.32,1.58
201411,3.34,3.49,2.75,0.18,0.54
201412,-0.85,-0.65,-0.04,0.77,2.18
201501,-0.97,-2.69,-3.86,-3.77,-7
201502,6.62,5.83,6.91,4.63,6.1
201503,-0.92,-1.28,-1.35,-1.44,-1.1
201504,-0.38,0.58,0.77,2.23,1.27
201505,1.92,0.94,1.44,0.59,1.39
201506,-0.48,-2.58,-2,-2.07,-0.55
201507,3.24,2.26,-0.14,-0.43,-1.06
