KYTREASNOX,CALDT,TDYTM
2000005,08/14/1973,7.6015938243
2000005,08/15/1973,7.5209825345
2000005,08/16/1973,7.3598581034
2000005,08/17/1973,7.2144359671
2000005,08/20/1973,7.318560929
2000005,08/21/1973,7.2899282963
2000005,08/22/1973,7.3198814066
2000005,08/23/1973,7.1452699237
2000005,08/24/1973,7.0153338629
2000005,08/27/1973,7.1185040643
2000005,08/28/1973,7.1482121308
2000005,08/29/1973,7.0397341712
2000005,08/30/1973,7.0765869848
2000005,08/31/1973,7.0771495735
2000005,09/04/1973,7.0066990738
2000005,09/05/1973,6.920281692
2000005,09/06/1973,6.9063174154
2000005,09/07/1973,6.8923515874
2000005,09/10/1973,6.9808455313
2000005,09/11/1973,7.0907355932
2000005,09/12/1973,7.0913176812
2000005,09/13/1973,7.1358496137
2000005,09/14/1973,7.0998074651
2000005,09/17/1973,6.940891372
2000005,09/18/1973,6.8252828599
2000005,09/19/1973,6.8329932456
2000005,09/20/1973,6.7683499498
2000005,09/21/1973,6.7254784108
2000005,09/24/1973,6.6402817865
2000005,09/25/1973,6.6262869266
2000005,09/26/1973,6.6554618009
2000005,09/27/1973,6.6270551699
2000005,09/28/1973,6.5555726714
2000005,10/01/1973,6.5853937482
2000005,10/02/1973,6.7157309508
2000005,10/03/1973,6.6438236722
2000005,10/04/1973,6.7093465506
2000005,10/05/1973,6.5580702943
2000005,10/09/1973,6.5306969839
2000005,10/10/1973,6.5743201902
2000005,10/11/1973,6.5746933788
2000005,10/12/1973,6.5245459848
2000005,10/15/1973,6.590674874
2000005,10/16/1973,6.6491003768
2000005,10/17/1973,6.6422469227
2000005,10/18/1973,6.6281246741
2000005,10/19/1973,6.6067386185
2000005,10/23/1973,6.6520216313
2000005,10/24/1973,6.667033996
2000005,10/25/1973,6.60913603
2000005,10/26/1973,6.6095395597
2000005,10/29/1973,6.6107569787
2000005,10/30/1973,6.5965739603
2000005,10/31/1973,6.6408010938
2000005,11/01/1973,6.6705071503
2000005,11/02/1973,6.6856098947
2000005,11/05/1973,6.8195811637
2000005,11/07/1973,6.7836521165
2000005,11/08/1973,6.7324923585
2000005,11/09/1973,6.7624867509
2000005,11/12/1973,6.8454729416
2000005,11/13/1973,6.9651891317
2000005,11/14/1973,7.0031839241
2000005,11/15/1973,6.9290246614
2000005,11/16/1973,6.8771956593
2000005,11/19/1973,6.7518406237
2000005,11/20/1973,6.737310967
2000005,11/21/1973,6.6635762339
2000005,11/23/1973,6.6641016179
2000005,11/26/1973,6.6352901107
2000005,11/27/1973,6.6503488894
2000005,11/28/1973,6.6654326556
2000005,11/29/1973,6.6508726998
2000005,11/30/1973,6.6214951665
2000005,12/03/1973,6.6742211716
2000005,12/04/1973,6.6819371692
2000005,12/05/1973,6.7269243193
2000005,12/06/1973,6.7346917297
2000005,12/07/1973,6.7126074247
2000005,12/10/1973,6.5794570422
2000005,12/11/1973,6.594556858
2000005,12/12/1973,6.579937814
2000005,12/13/1973,6.6099376228
2000005,12/14/1973,6.595303238
2000005,12/17/1973,6.5662655737
2000005,12/18/1973,6.618694747
2000005,12/19/1973,6.618960003
2000005,12/20/1973,6.581900095
2000005,12/21/1973,6.6120196012
2000005,12/24/1973,6.6128169829
2000005,12/26/1973,6.7260027554
2000005,12/27/1973,6.7037381224
2000005,12/28/1973,6.6739572545
2000005,12/31/1973,6.6974605607
2000005,01/02/1974,6.7282878494
2000005,01/03/1974,6.6984067618
2000005,01/04/1974,6.6911743585
2000005,01/07/1974,6.7223818976
2000005,01/08/1974,6.7378673693
2000005,01/09/1974,6.7382085499
2000005,01/10/1974,6.7765153021
2000005,01/11/1974,6.8225441187
2000005,01/14/1974,6.8389675827
2000005,01/15/1974,6.8088277337
2000005,01/16/1974,6.8092098687
2000005,01/17/1974,6.7790711606
2000005,01/18/1974,6.7870711201
2000005,01/21/1974,6.8341024059
2000005,01/22/1974,6.8805257757
2000005,01/23/1974,6.9193951101
2000005,01/24/1974,6.8890623117
