,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
198904,4.65,5.39,5.08,4.95,4.55
198905,4.15,3.29,4.18,4.45,6.81
198906,1.11,-0.13,-1.25,-1.6,-3.18
198907,6,8.21,9.19,8.85,7.95
198908,0.41,2.31,2.49,2.84,3.53
198909,0.75,-0.02,-0.54,-1.09,0.57
198910,-0.24,-2.53,-3.71,-4.84,-5.63
198911,2.95,1.44,1.68,0.87,0.92
198912,4.59,1.88,1.48,-0.87,-0.21
199001,-6.15,-7.79,-7.17,-6.69,-8.42
199002,0.42,1.74,1.46,2.43,4.04
199003,0.86,3,2.17,3.51,4.55
199004,-3.32,-2.13,-2.09,-3.56,-2.91
199005,6.92,9.2,8.83,10.15,13.56
199006,-0.91,-1.16,0.06,0.02,0.73
199007,1.87,-0.76,-1.46,-3.33,-4.38
199008,-5.83,-8.86,-9.63,-11.93,-13.92
199009,-1.18,-3.45,-8.21,-7.78,-9.82
199010,1.65,-0.17,-2.32,-2.72,-4.58
199011,3.55,5.95,8.33,8.99,12.14
199012,1.36,2.55,4.04,4.59,4.45
199101,-0.57,3.36,6.79,10.44,11
199102,6.3,6.56,8.03,9.07,10.08
199103,2.38,1.77,3.36,3.82,5.7
199104,0.62,0.08,0.61,-0.65,0.86
199105,0.18,3.74,5.56,5.91,6.32
199106,-2.26,-3.23,-5.01,-6.9,-6.16
199107,3.48,5,3.81,6.13,6.32
199108,1.7,2.52,3.2,2.88,5.27
199109,1.16,-2.04,-2,-2.3,-0.97
199110,2.25,1.7,1.83,0.62,0.88
199111,-2.18,-3.17,-5.16,-4.41,-5.24
199112,7.34,10.85,14.37,13.01,12.95
199201,-3.54,-2.02,0.22,2.31,8.47
199202,-0.94,0.56,2.45,4.74,2.99
199203,-1.57,-1.62,-2.6,-1.9,-5.22
199204,4.41,2.63,1.67,-0.74,-4.24
199205,0.92,0.83,0.73,0.79,-1.05
199206,0.14,-2.54,-1.96,-2.89,-3.84
199207,4.78,4.33,3.21,4.43,3.34
199208,-0.3,-2.2,-1.72,-4.54,-4.6
199209,0.6,0.04,2.78,3.3,1.76
199210,-1.42,1.33,0.6,3.17,5.98
199211,0.57,2.59,5.87,6.53,10.54
199212,1.07,1.61,1.39,3.05,3.26
199301,1.18,-0.64,0.61,3.62,4.11
199302,4.62,0.31,-0.51,-0.39,-3.18
199303,2.19,1.65,2.74,3.23,3.86
199304,-1.3,-1.5,-4.79,-2.91,-4.64
199305,0.86,2.3,3.77,4.89,6.04
199306,1.83,-0.19,-0.44,0.52,1.61
199307,0.88,-0.97,-0.1,-0.95,0.02
199308,4.28,3.16,2.98,4.73,5.19
199309,-0.26,-1.17,-0.92,0.96,3.4
199310,0.1,2.66,2.94,1.78,-0.57
199311,-3.59,-0.25,0.03,-1.85,-1.94
199312,0.85,1.92,1.45,2.93,2.33
199401,1.59,2.59,3.59,3.83,4.98
199402,-4.11,-2.71,-1.21,-1.81,-1.15
199403,-2.83,-4.3,-4.91,-5.65,-4.3
199404,2.25,1.78,0.75,-1.68,0.91
199405,-0.35,2.55,0.54,1.77,1.03
199406,-1.44,-2.7,-2.03,-3.23,-4.2
199407,2.79,3.16,3.1,3.11,3.25
199408,1.37,5.96,3.59,4.68,7.81
199409,-1.35,-1.06,-3.44,-2.49,-3.28
199410,2.55,1.52,1.79,0.91,2.26
199411,-3.47,-2.44,-4.52,-3.14,-4.81
199412,0.93,1.89,1.85,0.69,0.35
199501,3.44,1.94,2.01,2.49,1.96
199502,2.39,3.63,4.12,5.69,6.16
199503,2.05,3.5,2.6,2.46,1.99
199504,3.57,2.69,1.65,2.41,2.72
199505,2.8,4.32,3.12,3.89,4.29
199506,0.25,2.81,2.74,4.92,6.63
199507,2.58,2.71,3.74,5.73,6.88
199508,0.74,0.41,0.43,1.75,2.43
199509,4.54,4.86,3.29,3.57,2.69
199510,0.8,-0.07,-1.2,-4.09,-2.03
199511,3.3,5.72,5.08,4.92,2.39
199512,4.18,2.04,1.52,0.69,-2.29
199601,2.45,3.15,2.99,3.47,2.2
199602,-0.98,1.32,2.22,2.58,4.64
199603,0.14,0.69,2.63,1.87,0.01
199604,1.13,0.57,1.96,2.49,6.06
199605,0.97,3.19,3.19,2.47,3.77
199606,1.78,0.85,-0.03,-2.36,-3.84
199607,-3.75,-5.23,-4.7,-5.47,-7.1
199608,2.17,2.84,3.22,2.85,4.67
199609,3.24,4.15,5.42,5.88,8.97
199610,2.91,1.48,2.82,0.57,1.46
199611,5.75,5.34,6.85,9.14,8.16
