KYTREASNOX,MCALDT,TMYTM
2000005,01/31/1973,6.2930380141
2000005,02/28/1973,6.5865887753
2000005,03/30/1973,6.6574649841
2000005,04/30/1973,6.5800436118
2000005,05/31/1973,6.6008218338
2000005,06/29/1973,6.7397062539
2000005,07/31/1973,7.6720609423
2000005,08/31/1973,7.0771495735
2000005,09/28/1973,6.5555726714
2000005,10/31/1973,6.6408010938
2000005,11/30/1973,6.6214951665
2000005,12/31/1973,6.6974605607
2000005,01/31/1974,6.7673673661
2000005,02/28/1974,6.8021658322
2000005,03/29/1974,7.3926122023
2000005,04/30/1974,7.944080514
2000005,05/31/1974,7.7274983379
2000005,06/28/1974,8.0819940606
2000005,07/31/1974,8.2055959445
2000005,08/30/1974,8.3937058365
2000005,09/30/1974,7.8699293217
2000005,10/31/1974,7.7661917114
2000005,11/29/1974,7.3781155551
2000005,12/31/1974,7.118595129
2000005,01/31/1975,7.1425558663
2000005,02/28/1975,6.9336054939
2000005,03/31/1975,7.2670890928
2000005,04/30/1975,7.8114837771
2000005,05/30/1975,7.3114507919
2000005,06/30/1975,7.4558390828
2000005,07/31/1975,7.809521661
2000005,08/29/1975,7.9204827325
2000005,09/30/1975,8.0477552961
2000005,10/31/1975,7.4265919982
2000005,11/28/1975,7.6709417843
2000005,12/31/1975,7.2738018491
2000005,01/30/1976,7.2915741752
2000005,02/27/1976,7.2708405129
2000005,03/31/1976,7.2091180159
2000005,04/30/1976,7.1941393502
2000005,05/28/1976,7.5630691939
2000005,06/30/1976,7.1025357256
2000005,07/30/1976,7.1067323749
2000005,08/31/1976,7.0701255336
2000005,09/30/1976,6.9563793581
2000005,10/29/1976,6.6970056751
2000005,11/30/1976,6.0328975409
2000005,12/31/1976,6.018612177
2000005,01/31/1977,6.6595014607
2000005,02/28/1977,6.7968603365
2000005,03/31/1977,6.7392279657
2000005,04/29/1977,6.7632044416
2000005,05/31/1977,6.7262899709
2000005,06/30/1977,6.551615199
2000005,07/29/1977,6.853016731
2000005,08/31/1977,6.7939641683
2000005,09/30/1977,6.9626572156
2000005,10/31/1977,7.2544883421
2000005,11/30/1977,7.1754724404
2000005,12/30/1977,7.4011892179
2000005,01/31/1978,7.5613758859
2000005,02/28/1978,7.6907824496
2000005,03/31/1978,7.7526718936
2000005,04/28/1978,7.8101879648
2000005,05/31/1978,8.094936145
2000005,06/30/1978,8.3157734843
2000005,07/31/1978,8.2550031412
2000005,08/31/1978,8.181224755
2000005,09/29/1978,8.2985272695
2000005,10/31/1978,8.7590625784
2000005,11/30/1978,8.5782338846
2000005,12/29/1978,9.0516248614
2000005,01/31/1979,8.7503326261
2000005,02/28/1979,9.0747336494
2000005,03/30/1979,8.9601518311
2000005,04/30/1979,9.0915415383
2000005,05/31/1979,8.777344485
2000005,06/29/1979,8.4452591467
2000005,07/31/1979,8.6666688109
2000005,08/31/1979,8.998821126
2000005,09/28/1979,9.2015187464
2000005,10/31/1979,10.7205972
2000005,11/30/1979,10.031284792
2000005,12/31/1979,10.063140173
2000005,01/31/1980,10.644296341
