,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197602,5.67,1.69,0.25,-0.55,-0.68
197603,3.8,3.02,2.52,1.96,2.93
197604,-1.45,-2.64,-1.23,-0.59,-0.34
197605,-1.64,-2.77,-1.32,-0.91,0.5
197606,4.93,5.22,4.83,4.22,4.32
197607,0.29,-0.88,0.25,-0.56,-1.33
197608,-2.57,-1.41,0.56,1.08,-1.28
197609,0.92,2.29,3.4,1.95,3.2
197610,-2.83,-3.28,-2.22,-1.46,-2.21
197611,2.9,0.79,1.52,0.26,0.2
197612,9.59,7.64,6.97,5.37,4.5
197701,-0.22,-1.77,-2.93,-4.04,-6.05
197702,-2.18,-2.29,-1.76,-0.91,-2.36
197703,-0.02,-0.74,-0.93,-1.31,-0.98
197704,1.78,1.11,1.9,-0.8,0.33
197705,-0.82,-0.96,-0.59,-1.25,-1.27
197706,5.01,5.09,4.36,5.17,5.87
197707,-1.19,-0.41,-1.41,-1.21,-1.93
197708,-1.24,-1.8,-1.88,-0.62,-1.23
197709,-0.82,0.05,0.55,-0.02,-0.04
197710,-3.56,-3.95,-4.12,-3.59,-4.07
197711,8.26,4.7,3.52,3.86,5.51
197712,1.34,0.22,0.82,1.15,-0.13
197801,-3.26,-5.01,-5.15,-5.7,-7.02
197802,1.93,-1.19,-0.02,-1.88,-1.38
197803,7.7,3.36,3.22,2.17,4.34
197804,8.38,7.61,6.96,9.6,9.94
197805,6.29,2.06,2.12,1.16,3.02
197806,-0.64,-1.02,-1.81,-1.15,-0.91
197807,5.74,6.61,4.62,5.08,6.8
197808,5.9,4.09,3.54,3.97,5.69
197809,-0.1,-0.67,-0.44,-0.78,-2.02
197810,-16.41,-9.18,-9.37,-11.28,-14.83
197811,3.98,3.61,2.99,2.82,4.73
197812,1.53,2.27,0.77,1.69,2.12
197901,8.19,5.18,4.57,3.92,5.28
197902,-2.84,-2.37,-3.07,-3.1,-3.73
197903,9.53,6.43,4.35,6.24,8.8
197904,1.35,0.12,0.15,1.29,1.5
